FeedbackID,Title,Category,FeedbackText,PlainText,Tags,DisplayOrder,HasAttachment,AltText,AccessibilityNotes
F01,Strong seminar participation,Engagement,"You have contributed consistently and constructively to seminar discussions, offering thoughtful comments that build on the ideas of your peers. This level of engagement shows genuine intellectual curiosity.","You have contributed consistently and constructively to seminar discussions, offering thoughtful comments that build on the ideas of your peers. This level of engagement shows genuine intellectual curiosity.","seminars,participation,discussion",10,No,,
F02,Improving lecture attendance,Engagement,"Your attendance at lectures has been inconsistent this term. Regular attendance is important because lectures introduce core theoretical frameworks that you need for your assignments. I would encourage you to attend all remaining sessions.","Your attendance at lectures has been inconsistent this term. Regular attendance is important because lectures introduce core theoretical frameworks that you need for your assignments. I would encourage you to attend all remaining sessions.","attendance,lectures,improvement",20,No,,
F03,Good use of office hours,Engagement,"You have made effective use of office hours to clarify your understanding of key concepts. This proactive approach to seeking support is a strength that will serve you well throughout your studies.","You have made effective use of office hours to clarify your understanding of key concepts. This proactive approach to seeking support is a strength that will serve you well throughout your studies.","office-hours,proactive,support",30,No,,
F04,Limited engagement with reading,Engagement,"Your contributions suggest you have not yet engaged fully with the recommended reading list. Engaging with primary sources is essential in psychology -- try to read at least two journal articles per topic before each seminar.","Your contributions suggest you have not yet engaged fully with the recommended reading list. Engaging with primary sources is essential in psychology -- try to read at least two journal articles per topic before each seminar.","reading,preparation,journals",40,No,,
F05,Excellent application of theory,Academic Skills,"You demonstrate a strong ability to apply psychological theories to real-world scenarios. Your essay connected attachment theory to clinical practice in a way that showed genuine understanding rather than surface-level description.","You demonstrate a strong ability to apply psychological theories to real-world scenarios. Your essay connected attachment theory to clinical practice in a way that showed genuine understanding rather than surface-level description.","theory,application,clinical",10,No,,
F06,Developing analytical skills,Academic Skills,"Your analytical skills are developing well. To strengthen them further, try to move beyond describing what a study found and instead evaluate the methodology, consider alternative explanations, and discuss the implications.","Your analytical skills are developing well. To strengthen them further, try to move beyond describing what a study found and instead evaluate the methodology, consider alternative explanations, and discuss the implications.","analysis,methodology,evaluation",20,No,,
F07,Strong data interpretation,Academic Skills,"Your interpretation of statistical output in the lab report was accurate and clearly explained. You correctly identified the key findings and linked them back to the hypothesis.","Your interpretation of statistical output in the lab report was accurate and clearly explained. You correctly identified the key findings and linked them back to the hypothesis.","statistics,data,lab-report",30,No,,
F08,Needs stronger evidence base,Academic Skills,"Your arguments would benefit from a stronger evidence base. Where you make claims about psychological phenomena, support them with specific research findings, including the authors and year of publication.","Your arguments would benefit from a stronger evidence base. Where you make claims about psychological phenomena, support them with specific research findings, including the authors and year of publication.","evidence,research,citations",40,No,,
F09,Excellent critical evaluation,Critical Thinking,"You show a strong capacity for critical evaluation. Your analysis of the methodological limitations in the Milgram replication studies was particularly well-reasoned, weighing ethical and validity concerns with nuance.","You show a strong capacity for critical evaluation. Your analysis of the methodological limitations in the Milgram replication studies was particularly well-reasoned, weighing ethical and validity concerns with nuance.","critical-analysis,methodology,ethics",10,No,,
F10,Moving beyond description,Critical Thinking,"Your work tends to describe theories and findings rather than critically evaluate them. Try to ask: What are the strengths and limitations of this study? How could it be improved? Do the conclusions follow from the evidence?","Your work tends to describe theories and findings rather than critically evaluate them. Try to ask: What are the strengths and limitations of this study? How could it be improved? Do the conclusions follow from the evidence?","description,evaluation,improvement",20,No,,
F11,Good comparison of perspectives,Critical Thinking,"You effectively compared the cognitive and behaviourist perspectives on learning, identifying where they agree, diverge, and what each perspective fails to explain. This kind of comparative analysis is exactly what we look for.","You effectively compared the cognitive and behaviourist perspectives on learning, identifying where they agree, diverge, and what each perspective fails to explain. This kind of comparative analysis is exactly what we look for.","comparison,perspectives,analysis",30,No,,
F12,Developing independent argument,Critical Thinking,"You are beginning to form your own arguments, which is encouraging. To develop this further, try stating your position explicitly at the start of each section and then marshalling evidence to support it.","You are beginning to form your own arguments, which is encouraging. To develop this further, try stating your position explicitly at the start of each section and then marshalling evidence to support it.","argument,independence,structure",40,No,,
F13,Well-organised essay,Structure,"Your essay was clearly organised with a logical progression from introduction through to conclusion. Each paragraph addressed a distinct point and linked back to your central argument. This made your work easy to follow.","Your essay was clearly organised with a logical progression from introduction through to conclusion. Each paragraph addressed a distinct point and linked back to your central argument. This made your work easy to follow.","organisation,paragraphs,flow",10,No,,
